enrollment_id,learner_id,course_id,enrollment_date,started_course_flag,active_flag,completed_flag,completion_date,progress_percent,sessions_count,hours_spent,dropout_stage,satisfaction_score
E00001,L02875,C009,2024-06-05,0,0,0,,0.0,0,0.0,Enrolled not started,1.0
E00002,L00454,C001,2025-01-15,1,1,1,2025-03-31,91.7,12,8.9,,5.0
E00003,L01258,C001,2025-01-11,0,0,0,,0.0,0,0.0,Enrolled not started,1.8
E00004,L00199,C002,2024-12-28,1,1,1,2025-01-10,97.4,11,9.6,,5.0
E00005,L02853,C004,2024-10-22,0,0,0,,0.0,0,0.0,Enrolled not started,1.1
E00006,L02401,C009,2025-04-24,0,0,0,,0.0,0,0.0,Enrolled not started,2.6
E00007,L01275,C010,2024-12-28,0,0,0,,0.0,0,0.0,Enrolled not started,1.1
E00008,L03853,C003,2024-09-25,0,0,0,,0.0,0,0.0,Enrolled not started,1.1
E00009,L02539,C002,2024-10-29,1,1,1,2024-12-21,97.8,13,11.6,,5.0
E00010,L02767,C005,2025-06-26,1,1,1,2025-08-04,92.1,7,12.5,,5.0
E00011,L02440,C010,2025-04-02,1,1,1,2025-06-13,100.0,11,10.6,,4.9
E00012,L00539,C010,2025-08-26,0,0,0,,0.0,0,0.0,Enrolled not started,1.6
E00013,L01323,C005,2024-12-19,1,1,1,2025-01-22,97.8,8,12.4,,5.0
E00014,L02324,C002,2025-12-27,0,0,0,,0.0,0,0.0,Enrolled not started,1.7
E00015,L01863,C009,2025-12-06,1,0,0,,26.9,2,3.7,Dropped mid-course,2.7
E00016,L03149,C001,2025-02-21,0,0,0,,0.0,0,0.0,Enrolled not started,2.2
E00017,L04135,C010,2025-10-29,1,0,0,,34.3,1,0.8,Dropped mid-course,2.8
E00018,L00792,C003,2024-05-23,0,0,0,,0.0,0,0.0,Enrolled not started,1.5
E00019,L01951,C002,2025-11-01,1,1,1,2025-12-09,97.5,12,10.8,,5.0
E00020,L02172,C001,2025-01-08,1,1,1,2025-01-29,100.0,8,7.7,,5.0
E00021,L00358,C008,2025-08-28,0,0,0,,0.0,0,0.0,Enrolled not started,1.2
E00022,L01259,C002,2024-06-24,0,0,0,,0.0,0,0.0,Enrolled not started,1.0
E00023,L01556,C003,2024-05-11,1,1,1,2024-06-11,93.3,13,15.3,,5.0
E00024,L00184,C004,2025-06-27,0,0,0,,0.0,0,0.0,Enrolled not started,1.8
E00025,L00372,C010,2024-06-08,0,0,0,,0.0,0,0.0,Enrolled not started,1.5
E00026,L01181,C009,2025-06-16,0,0,0,,0.0,0,0.0,Enrolled not started,1.5
E00027,L01021,C001,2025-12-24,1,1,1,2026-03-14,93.7,13,8.0,,5.0
E00028,L02470,C008,2025-08-14,0,0,0,,0.0,0,0.0,Enrolled not started,2.0
E00029,L00045,C006,2024-10-27,0,0,0,,0.0,0,0.0,Enrolled not started,2.0
E00030,L02913,C002,2024-02-28,1,0,0,,22.7,1,0.8,Dropped after first lesson,2.7
E00031,L00895,C005,2025-04-14,1,1,1,2025-06-04,97.4,9,12.5,,5.0
E00032,L02983,C009,2024-06-28,0,0,0,,0.0,0,0.0,Enrolled not started,1.8
E00033,L00384,C005,2025-09-02,1,1,1,2025-09-27,94.8,9,12.8,,5.0
E00034,L02149,C002,2024-04-11,1,1,1,2024-05-11,97.2,13,8.5,,5.0
E00035,L03395,C003,2025-10-02,0,0,0,,0.0,0,0.0,Enrolled not started,1.4
E00036,L00655,C009,2024-04-12,1,1,1,2024-05-13,90.4,11,22.7,,5.0
E00037,L01111,C006,2025-12-17,0,0,0,,0.0,0,0.0,Enrolled not started,1.2
