learner_id,age,age_group,gender,region,device_type,signup_date
L00001,35,35-44,Male,Mpumalanga,Mobile,2024-03-16
L00002,38,35-44,Female,KwaZulu-Natal,Desktop,2025-09-14
L00003,18,18-24,Female,KwaZulu-Natal,Desktop,2024-08-07
L00004,25,25-34,Male,Limpopo,Mobile,2024-10-12
L00005,18,18-24,Female,Gauteng,Desktop,2025-04-27
L00006,33,25-34,Female,KwaZulu-Natal,Mobile,2024-06-08
L00007,39,35-44,Female,North West,Desktop,2025-07-23
L00008,25,25-34,Female,Gauteng,Mobile,2025-09-23
L00009,21,18-24,Female,Gauteng,Mobile,2025-07-20
L00010,18,18-24,Male,KwaZulu-Natal,Mobile,2025-06-28
L00011,41,35-44,Female,Western Cape,Mobile,2025-06-07
L00012,36,35-44,Male,North West,Desktop,2025-02-03
L00013,30,25-34,Male,Gauteng,Desktop,2024-08-02
L00014,29,25-34,Male,KwaZulu-Natal,Mobile,2025-07-21
L00015,39,35-44,Male,Western Cape,Mobile,2025-11-19
L00016,18,18-24,Non-binary,Gauteng,Mobile,2024-01-30
L00017,29,25-34,Male,Western Cape,Tablet,2024-12-08
L00018,18,18-24,Male,Western Cape,Mobile,2025-08-23
L00019,25,25-34,Female,Mpumalanga,Mobile,2024-01-31
L00020,24,18-24,Male,Gauteng,Mobile,2025-09-23
L00021,33,25-34,Non-binary,Gauteng,Desktop,2025-02-01
L00022,38,35-44,Female,Eastern Cape,Mobile,2024-07-23
L00023,30,25-34,Male,Gauteng,Mobile,2024-10-31
L00024,23,18-24,Female,Mpumalanga,Mobile,2025-12-18
L00025,34,25-34,Male,Mpumalanga,Mobile,2025-02-23
L00026,26,25-34,Female,Gauteng,Mobile,2025-07-20
L00027,27,25-34,Female,Eastern Cape,Mobile,2025-02-16
L00028,36,35-44,Male,Eastern Cape,Desktop,2024-02-05
L00029,34,25-34,Female,Mpumalanga,Mobile,2025-02-10
L00030,21,18-24,Male,North West,Tablet,2024-10-02
L00031,32,25-34,Female,North West,Desktop,2024-04-13
L00032,29,25-34,Male,Gauteng,Mobile,2025-06-06
L00033,31,25-34,Female,KwaZulu-Natal,Mobile,2025-05-12
L00034,32,25-34,Male,Gauteng,Mobile,2024-12-03
L00035,20,18-24,Male,Gauteng,Mobile,2024-10-17
L00036,33,25-34,Female,Gauteng,Tablet,2025-04-01
L00037,35,35-44,Female,KwaZulu-Natal,Desktop,2025-09-07
L00038,25,25-34,Female,KwaZulu-Natal,Tablet,2024-08-20
L00039,30,25-34,Male,Mpumalanga,Mobile,2025-09-09
L00040,22,18-24,Female,Gauteng,Mobile,2024-08-13
L00041,33,25-34,Female,Gauteng,Mobile,2024-11-18
L00042,39,35-44,Female,KwaZulu-Natal,Desktop,2025-10-21
L00043,26,25-34,Male,Gauteng,Mobile,2025-08-26
L00044,40,35-44,Female,Eastern Cape,Desktop,2025-03-17
L00045,23,18-24,Non-binary,Limpopo,Mobile,2024-08-22
L00046,32,25-34,Male,Eastern Cape,Desktop,2025-08-07
L00047,18,18-24,Female,Western Cape,Tablet,2024-03-15
L00048,20,18-24,Female,Mpumalanga,Tablet,2024-06-07
L00049,32,25-34,Female,Mpumalanga,Mobile,2025-08-08
L00050,22,18-24,Male,KwaZulu-Natal,Desktop,2024-05-10
L00051,39,35-44,Male,Western Cape,Mobile,2024-05-16
L00052,36,35-44,Male,Western Cape,Tablet,2025-07-27
L00053,33,25-34,Male,North West,Mobile,2024-04-29
L00054,42,35-44,Male,Western Cape,Tablet,2024-01-11
L00055,33,25-34,Female,Gauteng,Mobile,2024-04-03
L00056,18,18-24,Male,Gauteng,Desktop,2025-08-15
L00057,29,25-34,Male,Limpopo,Desktop,2024-09-08
L00058,30,25-34,Female,KwaZulu-Natal,Desktop,2024-03-21
L00059,34,25-34,Male,Mpumalanga,Mobile,2025-11-11
L00060,25,25-34,Female,KwaZulu-Natal,Desktop,2025-10-03
L00061,26,25-34,Male,KwaZulu-Natal,Tablet,2025-08-20
L00062,18,18-24,Female,Western Cape,Desktop,2025-09-07
L00063,35,35-44,Male,KwaZulu-Natal,Desktop,2024-03-22
L00064,43,35-44,Male,Gauteng,Desktop,2025-06-24
L00065,37,35-44,Female,KwaZulu-Natal,Tablet,2024-12-18
L00066,46,45+,Male,Gauteng,Tablet,2025-10-20
L00067,18,18-24,Female,Gauteng,Desktop,2025-02-10
L00068,28,25-34,Male,Gauteng,Desktop,2025-05-03
L00069,34,25-34,Male,KwaZulu-Natal,Desktop,2025-03-01
L00070,31,25-34,Female,KwaZulu-Natal,Mobile,2025-11-13
L00071,27,25-34,Male,Gauteng,Mobile,2025-03-27
L00072,18,18-24,Male,Free State,Mobile,2024-03-03
L00073,36,35-44,Female,KwaZulu-Natal,Desktop,2025-11-12
L00074,27,25-34,Female,Gauteng,Mobile,2025-04-02
L00075,28,25-34,Male,Western Cape,Desktop,2024-08-19
L00076,18,18-24,Male,KwaZulu-Natal,Desktop,2024-01-11
L00077,37,35-44,Male,Western Cape,Mobile,2024-04-14
L00078,23,18-24,Female,Gauteng,Tablet,2024-03-25
L00079,29,25-34,Male,Gauteng,Mobile,2025-06-24
L00080,40,35-44,Male,Gauteng,Mobile,2024-06-25
L00081,33,25-34,Female,Gauteng,Desktop,2025-09-06
L00082,20,18-24,Male,Eastern Cape,Mobile,2025-10-17
L00083,32,25-34,Male,Western Cape,Mobile,2025-08-24
L00084,23,18-24,Male,Limpopo,Tablet,2025-10-22
L00085,23,18-24,Female,Limpopo,Mobile,2025-12-13
L00086,36,35-44,Female,Western Cape,Desktop,2024-08-24
L00087,23,18-24,Female,Limpopo,Desktop,2024-07-14
L00088,20,18-24,Female,Western Cape,Desktop,2024-02-15
L00089,22,18-24,Female,North West,Desktop,2025-04-24
L00090,32,25-34,Male,Mpumalanga,Tablet,2025-03-02
L00091,40,35-44,Male,KwaZulu-Natal,Mobile,2025-11-16
L00092,37,35-44,Male,Gauteng,Desktop,2024-03-31
L00093,33,25-34,Male,Eastern Cape,Mobile,2024-07-20
L00094,25,25-34,Male,Limpopo,Mobile,2025-09-27
L00095,28,25-34,Male,Eastern Cape,Desktop,2024-08-07
L00096,39,35-44,Female,Western Cape,Mobile,2024-10-22
L00097,37,35-44,Male,Gauteng,Mobile,2024-09-27
L00098,28,25-34,Female,KwaZulu-Natal,Desktop,2024-03-24
L00099,33,25-34,Female,Gauteng,Tablet,2024-06-18
L00100,29,25-34,Female,Gauteng,Mobile,2025-02-24
L00101,27,25-34,Female,Mpumalanga,Mobile,2025-01-04
L00102,19,18-24,Female,Eastern Cape,Mobile,2024-01-09
L00103,42,35-44,Female,Gauteng,Mobile,2024-11-23
L00104,25,25-34,Male,Gauteng,Mobile,2025-11-03
L00105,29,25-34,Male,Gauteng,Mobile,2025-06-05
L00106,22,18-24,Male,Gauteng,Mobile,2024-06-21
L00107,29,25-34,Female,Gauteng,Mobile,2024-08-25
L00108,34,25-34,Female,KwaZulu-Natal,Desktop,2025-02-08
L00109,26,25-34,Male,North West,Tablet,2025-05-04
L00110,18,18-24,Female,Limpopo,Mobile,2025-08-22
L00111,29,25-34,Female,Eastern Cape,Tablet,2024-02-28
L00112,18,18-24,Female,KwaZulu-Natal,Mobile,2024-05-30
L00113,41,35-44,Female,Western Cape,Mobile,2024-12-14
L00114,18,18-24,Male,Western Cape,Desktop,2025-08-01
L00115,23,18-24,Female,Mpumalanga,Desktop,2025-07-06
L00116,23,18-24,Male,Eastern Cape,Tablet,2024-04-24
L00117,24,18-24,Female,Mpumalanga,Mobile,2025-08-21
L00118,23,18-24,Male,Gauteng,Desktop,2025-11-08
L00119,31,25-34,Male,KwaZulu-Natal,Mobile,2025-07-03
L00120,30,25-34,Female,Western Cape,Desktop,2025-11-29
L00121,38,35-44,Male,Gauteng,Mobile,2025-01-18
L00122,21,18-24,Female,Gauteng,Desktop,2024-01-27
L00123,28,25-34,Female,KwaZulu-Natal,Desktop,2025-06-08
L00124,31,25-34,Female,Western Cape,Desktop,2024-06-27
L00125,44,35-44,Female,Gauteng,Mobile,2024-09-08
L00126,18,18-24,Female,Eastern Cape,Desktop,2025-12-01
L00127,33,25-34,Female,Gauteng,Tablet,2024-01-31
L00128,28,25-34,Female,KwaZulu-Natal,Mobile,2025-03-08
L00129,39,35-44,Male,Western Cape,Mobile,2024-05-22
L00130,20,18-24,Female,Gauteng,Tablet,2024-11-20
L00131,18,18-24,Male,Mpumalanga,Desktop,2025-06-13
L00132,33,25-34,Male,Gauteng,Mobile,2024-01-09
L00133,24,18-24,Male,Limpopo,Mobile,2025-08-11
L00134,19,18-24,Male,Mpumalanga,Mobile,2025-10-07
L00135,43,35-44,Female,Western Cape,Desktop,2025-07-06
L00136,29,25-34,Male,Gauteng,Mobile,2024-06-20
L00137,33,25-34,Male,KwaZulu-Natal,Mobile,2025-04-15
L00138,37,35-44,Female,Western Cape,Mobile,2024-06-10
L00139,32,25-34,Female,Mpumalanga,Desktop,2025-01-31
L00140,26,25-34,Female,Gauteng,Mobile,2025-10-31
L00141,25,25-34,Female,Limpopo,Desktop,2025-09-01
L00142,23,18-24,Male,Limpopo,Mobile,2024-03-11
