event_id,learner_id,course_id,activity_date,days_since_enrollment,returned_flag
R000001,L02875,C009,2024-06-06,1,0
R000002,L02875,C009,2024-06-12,7,0
R000003,L02875,C009,2024-06-19,14,0
R000004,L02875,C009,2024-07-05,30,0
R000005,L00454,C001,2025-01-16,1,1
R000006,L00454,C001,2025-01-22,7,1
R000007,L00454,C001,2025-01-29,14,1
R000008,L00454,C001,2025-02-14,30,1
R000009,L01258,C001,2025-01-12,1,0
R000010,L01258,C001,2025-01-18,7,0
R000011,L01258,C001,2025-01-25,14,0
R000012,L01258,C001,2025-02-10,30,0
R000013,L00199,C002,2024-12-29,1,1
R000014,L00199,C002,2025-01-04,7,1
R000015,L00199,C002,2025-01-11,14,0
R000016,L00199,C002,2025-01-27,30,0
R000017,L02853,C004,2024-10-23,1,0
R000018,L02853,C004,2024-10-29,7,0
R000019,L02853,C004,2024-11-05,14,0
R000020,L02853,C004,2024-11-21,30,0
R000021,L02401,C009,2025-04-25,1,0
R000022,L02401,C009,2025-05-01,7,0
R000023,L02401,C009,2025-05-08,14,0
R000024,L02401,C009,2025-05-24,30,0
R000025,L01275,C010,2024-12-29,1,0
R000026,L01275,C010,2025-01-04,7,0
R000027,L01275,C010,2025-01-11,14,0
R000028,L01275,C010,2025-01-27,30,0
R000029,L03853,C003,2024-09-26,1,0
R000030,L03853,C003,2024-10-02,7,0
R000031,L03853,C003,2024-10-09,14,0
R000032,L03853,C003,2024-10-25,30,0
R000033,L02539,C002,2024-10-30,1,1
R000034,L02539,C002,2024-11-05,7,1
R000035,L02539,C002,2024-11-12,14,1
R000036,L02539,C002,2024-11-28,30,1
R000037,L02767,C005,2025-06-27,1,1
R000038,L02767,C005,2025-07-03,7,1
R000039,L02767,C005,2025-07-10,14,1
R000040,L02767,C005,2025-07-26,30,1
R000041,L02440,C010,2025-04-03,1,1
R000042,L02440,C010,2025-04-09,7,1
R000043,L02440,C010,2025-04-16,14,1
R000044,L02440,C010,2025-05-02,30,1
R000045,L00539,C010,2025-08-27,1,0
R000046,L00539,C010,2025-09-02,7,0
R000047,L00539,C010,2025-09-09,14,0
R000048,L00539,C010,2025-09-25,30,0
R000049,L01323,C005,2024-12-20,1,1
R000050,L01323,C005,2024-12-26,7,1
R000051,L01323,C005,2025-01-02,14,1
R000052,L01323,C005,2025-01-18,30,1
R000053,L02324,C002,2025-12-28,1,0
R000054,L02324,C002,2026-01-03,7,0
R000055,L02324,C002,2026-01-10,14,0
R000056,L02324,C002,2026-01-26,30,0
R000057,L01863,C009,2025-12-07,1,1
R000058,L01863,C009,2025-12-13,7,0
R000059,L01863,C009,2025-12-20,14,0
R000060,L01863,C009,2026-01-05,30,1
R000061,L03149,C001,2025-02-22,1,0
R000062,L03149,C001,2025-02-28,7,0
R000063,L03149,C001,2025-03-07,14,0
R000064,L03149,C001,2025-03-23,30,0
R000065,L04135,C010,2025-10-30,1,1
R000066,L04135,C010,2025-11-05,7,0
R000067,L04135,C010,2025-11-12,14,1
R000068,L04135,C010,2025-11-28,30,0
R000069,L00792,C003,2024-05-24,1,0
R000070,L00792,C003,2024-05-30,7,0
R000071,L00792,C003,2024-06-06,14,0
R000072,L00792,C003,2024-06-22,30,0
R000073,L01951,C002,2025-11-02,1,1
R000074,L01951,C002,2025-11-08,7,0
R000075,L01951,C002,2025-11-15,14,1
R000076,L01951,C002,2025-12-01,30,1
R000077,L02172,C001,2025-01-09,1,1
R000078,L02172,C001,2025-01-15,7,1
R000079,L02172,C001,2025-01-22,14,1
R000080,L02172,C001,2025-02-07,30,1
R000081,L00358,C008,2025-08-29,1,0
R000082,L00358,C008,2025-09-04,7,0
R000083,L00358,C008,2025-09-11,14,0
R000084,L00358,C008,2025-09-27,30,0
R000085,L01259,C002,2024-06-25,1,0
R000086,L01259,C002,2024-07-01,7,0
R000087,L01259,C002,2024-07-08,14,0
R000088,L01259,C002,2024-07-24,30,0
R000089,L01556,C003,2024-05-12,1,1
